"World total energy consumption by region and fuel"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-IEO2011&sourcekey=0"
"Wed May 06 2020 22:10:35 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2008-2035)"
OECD,,2-IEO2011.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Americas,,2-IEO2011.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquids,"Energy use: OECD: OECD Americas: Liquids": Reference case,2-IEO2011.3.Reference-0504a_1630,"quad Btu",50.142,49.583,49.912,47.727,45.526,46.151,46.742,47.752,48.329,48.406,48.556,48.792,48.858,48.832,48.827,48.873,48.987,49.069,49.188,49.295,49.449,49.61,49.764,49.962,50.161,50.465,50.792,51.103,51.429,51.767,52.135,"0.3%"
Natural Gas,"Energy use: OECD: OECD Americas: Natural Gas": Reference case,2-IEO2011.4.Reference-0504a_1630,"quad Btu",28.09,28.237,29.48,29.612,28.839,30.06,30.182,30.354,31.017,31.396,31.919,32.136,32.377,32.693,32.956,33.072,33.138,33.325,33.564,33.776,34.071,34.309,34.68,35.101,35.56,36.085,36.565,36.949,37.292,37.667,38.059,"0.9%"
Coal,"Energy use: OECD: OECD Americas: Coal": Reference case,2-IEO2011.5.Reference-0504a_1630,"quad Btu",24.787,24.438,24.659,24.269,21.347,22.671,22.042,21.808,21.59,21.305,21.316,21.596,21.688,21.839,22.035,22.475,22.965,23.281,23.662,24.135,24.323,24.604,24.786,24.964,25.073,25.221,25.404,25.641,25.877,26.174,26.484,"0.3%"
Nuclear,"Energy use: OECD: OECD Americas: Nuclear": Reference case,2-IEO2011.6.Reference-0504a_1630,"quad Btu",9.25,9.37,9.558,9.529,9.449,9.49,9.493,9.598,9.759,9.97,10.132,10.188,10.332,10.477,10.621,10.713,10.719,10.725,10.731,10.737,10.743,10.796,10.849,10.902,10.955,11.007,11.026,11.044,11.06,11.074,11.083,"0.6%"
Other,"Energy use: OECD: OECD Americas: Other": Reference case,2-IEO2011.7.Reference-0504a_1630,"quad Btu",10.58,10.719,10.709,11.757,12.11,12.193,12.853,13.43,13.723,13.91,14.216,14.692,14.909,15.17,15.476,15.829,16.031,16.227,16.53,16.923,17.324,17.684,17.956,18.256,18.58,18.816,19.13,19.418,19.621,19.796,19.938,"2.0%"
Total,"Energy use: OECD: OECD Americas: Total": Reference case,2-IEO2011.8.Reference-0504a_1630,"quad Btu",122.849,122.347,124.318,122.893,117.271,120.564,121.311,122.942,124.418,124.986,126.138,127.405,128.166,129.011,129.914,130.961,131.84,132.626,133.675,134.866,135.911,137.003,138.035,139.185,140.33,141.594,142.917,144.155,145.279,146.477,147.699,"0.7%"
OECD Europe,,2-IEO2011.9.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquids,"Energy use: OECD: OECD Europe: Liquids": Reference case,2-IEO2011.10.Reference-0504a_1630,"quad Btu",32.455,32.527,32.082,32.017,29.91,29.745,29.662,29.476,29.619,29.681,29.679,29.89,29.98,30.054,30.111,30.134,30.328,30.358,30.34,30.355,30.376,30.375,30.39,30.428,30.475,30.535,30.615,30.668,30.681,30.662,30.599,"-0.2%"
Natural Gas,"Energy use: OECD: OECD Europe: Natural Gas": Reference case,2-IEO2011.11.Reference-0504a_1630,"quad Btu",19.773,19.727,19.566,20.063,19.78,19.787,19.86,20.216,20.214,20.315,20.394,20.527,20.59,20.801,21.027,21.049,20.997,20.981,21.249,21.403,21.57,21.776,22.048,22.287,22.451,22.694,23.029,23.311,23.568,23.788,23.91,"0.7%"
Coal,"Energy use: OECD: OECD Europe: Coal": Reference case,2-IEO2011.12.Reference-0504a_1630,"quad Btu",12.821,13.197,13.475,12.539,11.682,11.606,11.651,11.769,11.684,11.606,11.533,11.502,11.424,11.349,11.282,11.199,11.128,11.049,10.974,10.906,10.831,10.764,10.7,10.644,10.593,10.541,10.504,10.475,10.449,10.434,10.439,"-0.7%"
Nuclear,"Energy use: OECD: OECD Europe: Nuclear": Reference case,2-IEO2011.13.Reference-0504a_1630,"quad Btu",9.73,9.694,9.155,9.118,9.1,9.291,9.731,9.795,9.859,9.924,9.989,10.057,10.125,10.193,10.262,10.331,10.473,10.617,10.761,10.905,11.05,11.141,11.232,11.324,11.416,11.508,11.559,11.611,11.662,11.714,11.766,"0.9%"
Other,"Energy use: OECD: OECD Europe: Other": Reference case,2-IEO2011.14.Reference-0504a_1630,"quad Btu",7.466,7.632,8.064,8.441,9.125,9.134,9.87,10.742,11.1,11.729,11.993,12.711,13.172,13.518,13.663,14.214,14.8,15.24,15.439,15.65,15.839,16.035,16.153,16.274,16.387,16.496,16.621,16.747,16.866,16.984,17.094,"2.6%"
Total,"Energy use: OECD: OECD Europe: Total": Reference case,2-IEO2011.15.Reference-0504a_1630,"quad Btu",82.245,82.777,82.342,82.177,79.596,79.564,80.774,81.998,82.476,83.254,83.588,84.687,85.291,85.915,86.345,86.926,87.726,88.244,88.763,89.22,89.665,90.092,90.523,90.957,91.323,91.773,92.327,92.813,93.225,93.582,93.807,"0.5%"
OECD Asia,,2-IEO2011.16.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquids,"Energy use: OECD: OECD Asia: Liquids": Reference case,2-IEO2011.17.Reference-0504a_1630,"quad Btu",17.768,17.504,17.335,16.792,15.562,15.736,15.449,15.316,15.636,15.836,15.887,15.899,16.018,16.174,16.371,16.607,16.839,16.939,16.928,16.917,16.902,16.891,16.881,16.881,16.889,16.902,16.917,16.942,16.958,16.985,17.011,"0.1%"
Natural Gas,"Energy use: OECD: OECD Asia: Natural Gas": Reference case,2-IEO2011.18.Reference-0504a_1630,"quad Btu",5.707,6.151,6.638,6.614,6.554,6.658,6.828,6.87,6.934,6.977,6.916,6.906,6.941,7.073,7.187,7.321,7.406,7.514,7.673,7.795,7.925,8.018,8.115,8.205,8.279,8.356,8.432,8.493,8.536,8.582,8.594,"1.0%"
Coal,"Energy use: OECD: OECD Asia: Coal": Reference case,2-IEO2011.19.Reference-0504a_1630,"quad Btu",9.093,9.175,9.637,9.949,9.166,9.198,9.692,9.735,9.741,9.742,9.726,9.59,9.524,9.493,9.492,9.461,9.445,9.431,9.419,9.419,9.418,9.422,9.429,9.444,9.466,9.49,9.515,9.566,9.608,9.667,9.732,"-0.1%"
Nuclear,"Energy use: OECD: OECD Asia: Nuclear": Reference case,2-IEO2011.20.Reference-0504a_1630,"quad Btu",4.323,4.329,3.892,3.913,3.905,3.897,4.178,4.491,4.785,4.971,5.094,5.213,5.335,5.456,5.577,5.699,5.764,5.829,5.894,5.96,6.026,6.129,6.232,6.336,6.44,6.544,6.631,6.717,6.804,6.892,6.98,"2.2%"
Other,"Energy use: OECD: OECD Asia: Other": Reference case,2-IEO2011.21.Reference-0504a_1630,"quad Btu",1.915,2.038,1.925,1.917,2.19,2.38,2.517,2.592,2.641,2.84,3.059,3.26,3.434,3.495,3.543,3.59,3.756,3.84,3.864,3.889,3.913,3.952,3.981,4.015,4.049,4.084,4.184,4.242,4.272,4.307,4.34,"3.1%"
Total,"Energy use: OECD: OECD Asia: Total": Reference case,2-IEO2011.22.Reference-0504a_1630,"quad Btu",38.806,39.197,39.427,39.185,37.377,37.868,38.664,39.003,39.737,40.366,40.682,40.869,41.251,41.691,42.17,42.678,43.209,43.555,43.778,43.98,44.184,44.411,44.637,44.88,45.123,45.376,45.678,45.959,46.178,46.434,46.657,"0.7%"
Total OECD,,2-IEO2011.23.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquids,"Energy use: OECD: Total OECD: Liquids": Reference case,2-IEO2011.24.Reference-0504a_1630,"quad Btu",100.365,99.613,99.33,96.536,90.998,91.631,91.853,92.544,93.584,93.923,94.122,94.582,94.856,95.059,95.309,95.613,96.154,96.366,96.456,96.568,96.727,96.876,97.035,97.271,97.525,97.902,98.324,98.713,99.068,99.413,99.745,"0.1%"
Natural Gas,"Energy use: OECD: Total OECD: Natural Gas": Reference case,2-IEO2011.25.Reference-0504a_1630,"quad Btu",53.57,54.115,55.684,56.288,55.173,56.504,56.869,57.439,58.164,58.687,59.229,59.569,59.908,60.567,61.169,61.443,61.542,61.82,62.487,62.974,63.566,64.103,64.843,65.594,66.291,67.135,68.026,68.753,69.396,70.038,70.562,"0.8%"
